"ano","mes","dia","hora","min","seg","lat","lon","dep","uf","n1","mag","n2","s1","s2","n3","s3"
1955,1,31,5,3,6,-12.52,-57.35,30,MT,0,6.2,0,I,-,,SA. TOMBADOR M(PAS)6.8;M(BCI)6.6; relocal.Engdahl(GS)
1955,3,1,1,46,18,-19.84,-36.75,30,ES,0,6.1,0,A,-,,"FTE.VITORIA  (ISS) VITORIA V MM, M(ROTHE)=6; MB(PAS)=6.5"
1963,12,14,21,5,42,-2.30,-61.01,30,AM,45,5.1,0,C,-,,MANAUS        (ISS) RELOCAL.
1964,2,13,11,21,46,-18.06,-56.69,30,MS,5,5.4,0,I,-,,"NW DE MS      RELOCAL., CAMPO GRANDE = V MM"
1967,8,9,7,14,8,-8.45,-73.83,30,AC,42,5.1,0,I,-,,PERU-BRASIL
1968,2,23,14,23,2,-6.09,-38.44,5,CE,0,4.6,2,A,7,84,"PEREIRO      (UFRN,IAG,ISC)"
1968,8,27,5,17,36,-8.90,-72.89,30,AC,26,4.9,0,I,-,,W DO ACRE    (ISC H=50 ?)
1969,11,7,9,28,54,-37.00,-43.80,250,RS,0,5.0,0,I,-,,ATLANTICO    (ISC)
1970,1,12,4,43,8,-1.32,-48.48,30,PA,0,4.5,2,B,7-Jun,10,"BELEM        (ISC,IAG,UnB) MAIS 4 EV."
1972,10,24,15,36,36,-21.72,-40.53,30,RJ,8,4.8,2,A,-,210,"CAMPOS       (ISC, IAG) RELOCAL., Campos V MM, I.E.I. VI"
1976,2,22,3,24,50,0.34,-59.23,30,RR,5,4.6,0,I,-,,SE RORAIMA   (ISC) RELOCAL.
1977,8,2,17,45,52,-0.08,-49.97,30,PA,0,4.8,0,I,-,,N.I.MARAJO   (ISC) RELOCAL.
1980,3,6,9,46,18,-6.17,-71.16,30,AM,18,4.8,0,I,-,,"W AMAZONAS   (ISC, H=67?)"
1980,4,23,16,11,30,-26.50,-40.00,100,SC,0,3.5,1,I,-,,"OC.ATLANTICO (IAG, UnB)"
1980,11,5,1,22,42,-5.80,-50.30,70,PA,0,3.5,1,I,-,,"SUL DO PARA' (IAG,UnB)"
1980,11,12,21,23,5,-8.07,-50.24,20,PA,0,4.7,2,C,5,,REDENCAO     (IAG; ISC MB=4.8)
1980,11,20,3,29,42,-4.30,-38.40,10,CE,5,5.2,2,A,7,1000,PACAJUS      (ISC MB=5.2; IAG)
1980,11,21,1,29,7,-26.25,-58.25,50,-,0,3.8,1,I,3,,"FORMOSA,ARG. (IAG,UnB) SENT. FORMOSA"
1980,12,14,0,0,0,-16.60,-56.20,0,MT,0,3.6,3,C,5,2,SA.S.VICENTE DIA INCERTO
1981,1,2,4,14,55,-4.30,-38.40,30,CE,0,3.6,1,C,-,,"PACAJUS      (IAG, UnB)NOTICIADO 15:20"
1981,1,12,3,33,8,-4.30,-38.40,30,CE,0,3.8,1,C,-,18,"PACAJUS      (IAG, UnB)"
1981,3,9,20,27,40,-11.01,-57.64,50,MT,0,3.8,1,I,-,,PORT.GAUCHOS (UnB)
1981,5,7,3,44,55,-22.60,-39.50,50,RJ,0,3.7,1,I,-,,PLAT. CONT.  (UnB)
1981,9,15,4,26,12,-1.60,-53.00,100,PA,0,3.9,1,I,-,,ALMEIRIM     (UnB)
1982,1,30,16,42,37,-4.00,-34.00,70,RN,0,3.5,1,I,-,,"PLAT. CONT.  (UnB, IAG)"
1982,3,3,18,57,25,-16.50,-59.10,100,MT,0,3.5,1,I,-,,BOLIVIA/MT   (UnB)
1982,3,12,17,14,43,-23.60,-41.63,30,RJ,0,3.5,1,I,-,,"PLATAFORMA   (UnB,IAG)"
1982,3,29,7,47,11,-9.31,-38.23,5,BA,0,3.6,1,B,4,0.2,PAULO AFONSO (IAG)
1982,4,8,5,58,52,-24.80,-58.10,30,-,12,4.9,2,I,6,230,"PARAGUAI     (ISC,UnB,IAG) ASUNCION IV-V MM"
1982,9,17,12,28,41,-25.84,-45.42,40,SP,0,3.8,1,I,-,,"PLATAFORMA   (UnB, IAG)"
1983,2,8,18,38,15,-26.28,-60.18,30,-,0,4.8,2,I,-,,PARAGUAI     (GS: MB=5.0)
1983,5,7,18,30,0,-8.67,-35.58,0,PE,0,3.5,4,C,5,,PALMARES     (IAG)
1983,8,5,6,21,42,-3.59,-62.17,20,AM,23,5.5,2,A,7,500,"CODAJAS      (UnB,IAG) GS 5.5MB"
